,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id,data_inicio
34,/m/0j9m6s7,Gusttavo Lima,Y:58v1H58IxEY,2019-01-11
35,/g/11cnnwp26d,Marília Mendonça,Y:LDClGMUBJzE,2019-01-11
36,/g/11c602sm4t,Zé Neto & Cristiano,Y:BwHg2maLyXg,2019-01-11
37,/g/1q6n2ftx2,Dilsinho,Y:9CcJ5kQYCpk,2019-01-11
38,/g/11c602sm4t,Zé Neto & Cristiano,Y:B5WhTYUQGnA,2019-01-11
39,/g/11gr6vzdh1,Melim,Y:MjHDSBCrLbI,2019-01-11
40,/m/0124x5pq,Wesley Safadão,Y:4PCEEvzdm1c,2019-01-11
41,/g/11f5vgp9qk,Mc Bruninho,Y:h5Y0D2TGYH4,2019-01-11
42,/g/11f655yjcs,MC Vitinho Ferrari,Y:h5Y0D2TGYH4,2019-01-11
43,/g/11cnnwp26d,Marília Mendonça,Y:J6yu9zcAxl8,2019-01-11
44,,MC Kevin,Y:b6-iKAEa30A,2019-01-11
45,/g/11c2pjlbrf,Mano Walter,Y:uPdZ0S66M58,2019-01-11
46,/g/11c2lywr2r,MC Mirella,Y:QEzpYbdvo9A,2019-01-11
47,/g/12tb7_98j,POCAH,Y:QEzpYbdvo9A,2019-01-11
48,,MC Charada,Y:5oWWUbxlJKc,2019-01-11
49,/g/11b7_v3lwg,Mc Dede,Y:5oWWUbxlJKc,2019-01-11
50,/g/11fltsbh_d,Lauana Prado,Y:P_Llq_QkJOo,2019-01-11
51,/g/11btz__j0s,Maiara & Maraisa,Y:P_Llq_QkJOo,2019-01-11
52,/g/11f5vgp9qk,Mc Bruninho,Y:vbcDDt9e5RE,2019-01-11
53,/g/11b6_sq0s2,Mc Livinho,Y:vbcDDt9e5RE,2019-01-11
54,/m/0j9m6s7,Gusttavo Lima,Y:i8fgDIJLOA0,2019-01-11
55,/m/0j9m6s7,Gusttavo Lima,Y:Flbb7kQnN9I,2019-01-11
56,/g/11cnnwp26d,Marília Mendonça,Y:ReO6ouO_QIg,2019-01-11
57,/g/11byhkk3nl,Lexa,Y:KDEPqwQhYNY,2019-01-11
58,/g/11g9fl0gh5,MC Lan,Y:KDEPqwQhYNY,2019-01-11
59,/g/11gr6vzdh1,Melim,Y:SuG2n1PbswA,2019-01-11
60,/m/0124x5pq,Wesley Safadão,Y:rmxrwuV2EDk,2019-01-11
61,/g/11h0zkvq71,Aldair Playboy,Y:rmxrwuV2EDk,2019-01-11
62,/m/02k5sc,Maroon 5,Y:eoY2OkHztog,2019-01-11
63,/g/11g9l_xksy,MC Don Juan,Y:ze_TWvjSzkI,2019-01-11
64,/g/11h_cx894k,MC WM,Y:37-bazO9koQ,2019-01-11
65,,MC Levin,Y:Mtd_8YW69gI,2019-01-11
66,/g/11h9vqkc4h,Diego & Victor Hugo,Y:7jTskrMCYY4,2019-01-11
67,/m/0j9l44h,Jorge & Mateus,Y:1FDn19C7Xyc,2019-01-11
68,/g/11c602sm4t,Zé Neto & Cristiano,Y:PC3DC7b8wyY,2019-01-11
69,/m/0j9m6s7,Gusttavo Lima,Y:HMOApugPRpM,2019-01-11
70,/m/0dntv_d,Davi Sacer,Y:T0B6-hLwbHk,2019-01-11
71,/g/11g9l_xksy,MC Don Juan,Y:fS3mNef3wrk,2019-01-11
72,/g/11c602sm4t,Zé Neto & Cristiano,Y:HYQNxE5Ler8,2019-01-11
73,/g/11f4v4x7mq,Ferrugem,Y:zXyPjjjE78c,2019-01-11
74,/g/11b7_v3lwg,Mc Dede,Y:i0DeJ3jlIBk,2019-01-11
75,,MC Menor MR,Y:i0DeJ3jlIBk,2019-01-11
76,/g/11cnnwp26d,Marília Mendonça,Y:h1014P7S-OA,2019-01-11
77,/g/11bvt5dbv2,Leandro Borges,Y:wXDO-Kut5qs,2019-01-11
78,,ANALAGA,Y:jJmIo7pCopg,2019-01-11
79,/g/11cn9rtzrb,João Gustavo & Murilo,Y:jJmIo7pCopg,2019-01-11
80,/g/11cnnwp26d,Marília Mendonça,Y:tgwuHK-uyog,2019-01-11
81,/g/11bv0tdh2n,MC PP da VS,Y:KE_u9V3P2F4,2019-01-11
82,,MC Kevin o Chris,Y:2F5Y4Zbf1X4,2019-01-11
83,,Jerry Smith,Y:MHqHWn_7btU,2019-01-11
84,/g/11g7ks3ysy,Gloria Groove,Y:ms3RS0Jlet4,2019-01-11
85,/g/11gfj5bltt,Aurelina Dourado,Y:9bxZYd3uHpI,2019-01-11
86,/g/11fd7222l9,Luanna Dourado,Y:9bxZYd3uHpI,2019-01-11
87,/g/11f122x7gd,MC Magal,Y:AMZ8-HGMCVQ,2019-01-11
88,/g/11gn259b0w,Mc Alê,Y:Yc8NF3F8LOU,2019-01-11
89,/g/11b7_snwcl,MC Rodolfinho,Y:Yc8NF3F8LOU,2019-01-11
90,/g/12lqjt13t,Hungria Hip-Hop,Y:_qP10Ka0BXc,2019-01-11
91,/g/11c2nn_kzf,Mc Th,Y:5S93gDIpnrU,2019-01-11
92,,MC Menininho,Y:5S93gDIpnrU,2019-01-11
93,/g/11g1yzvgvg,DJ Victor Falcão,Y:5S93gDIpnrU,2019-01-11
94,/g/11g0mh8knm,Enzo Rabelo,Y:cXltU1LNy6A,2019-01-11
95,/g/11b7_snwcl,MC Rodolfinho,Y:2bVWiSHfQbo,2019-01-11
96,/g/11f10lszn1,Anitta,Y:hqfWehl63gc,2019-01-11
97,/g/11byhkk3nl,Lexa,Y:5f1wacUTmF8,2019-01-11
98,/m/0j9m6s7,Gusttavo Lima,Y:AwmrQLhO2pc,2019-01-11
99,/m/01sz99q,Eduardo Costa,Y:6Vluz5gZKWc,2019-01-11
100,/g/11f4v4x7mq,Ferrugem,Y:zGCbQoCcA1s,2019-01-11
101,/g/11f4v4x7mq,Ferrugem,Y:nwIUI46Py1Q,2019-01-11
102,/g/11fy_qdm4z,Luísa Sonza,Y:aTRPGEc2S3Y,2019-01-11
103,/m/01w65jh,DJ Snake,Y:WMgx7zhKzt8,2019-01-11
104,/g/11cnnwp26d,Marília Mendonça,Y:vssm0JZSP1E,2019-01-11
105,,Ruanzinho,Y:u8EXUyruTNU,2019-01-11
106,/m/0gh91m8,Luan Santana,Y:AFjQl6-puAI,2019-01-11
107,/g/11bt_7r7wh,MC Hariel,Y:0Scra6jfn8A,2019-01-11
108,/m/0j9m6s7,Gusttavo Lima,Y:rk6N9ptf6Bo,2019-01-11
109,,Jerry Smith,Y:w-vX5_XUdyQ,2019-01-11
110,/m/0124x5pq,Wesley Safadão,Y:eins4SxDDTk,2019-01-11
111,,Alessandro Vilas Boas,Y:OqgXaloCM58,2019-01-11
112,/g/11gc9g8dkg,IZA,Y:ySU2GaJKbxc,2019-01-11
113,/m/0qjjymk,Cristiano Araújo,Y:3Xl541nNXj8,2019-01-11
114,/g/11ghyk6np1,Vitor Kley,Y:TguSbAn4rJs,2019-01-11
115,/g/11g6rmbwk8,Bruno Martini,Y:TguSbAn4rJs,2019-01-11
116,/g/11c2psj56j,MC Kekel,Y:2huCS-0jqwI,2019-01-11
117,/m/0wtnl61,Henrique & Juliano,Y:lXriGr9fwLs,2019-01-11
118,/g/11c602sm4t,Zé Neto & Cristiano,Y:cHKB6SbN3D8,2019-01-11
119,/g/11b7_vwf0c,MC Vinny,Y:_yqx2uh_c6k,2019-01-11
120,/g/11b7_tz84z,Luma Elpidio,Y:rVdBjFFe2BY,2019-01-11
121,/g/11dxf0ptqb,Preto no Branco,Y:YGTWV8snTts,2019-01-11
122,/g/120xp55c,Zé Ramalho,Y:9VRSZDLVV24,2019-01-11
123,/m/02qzcw3,Fagner,Y:9VRSZDLVV24,2019-01-11
124,/m/09gkdy4,Ariana Grande,Y:MxonrvCJRyw,2019-01-11
125,/g/11fkdz_yyw,Isadora Pompeo,Y:5-RiEGTePPk,2019-01-11
126,/m/01pb7lz,Grupo Revelação,Y:3_WQEtYXT6s,2019-01-11
127,/m/01qtf3z,Trio Parada Dura,Y:29MLdCKF6PY,2019-01-11
128,,MC WM,Y:hIjuhGHXvR4,2019-01-11
129,/g/11hzcy7yz_,MC Kevin o Chris,Y:pozMrssJ9eg,2019-01-11
0,/g/11h0d3dnyr,Gabriel Diniz,Y:AgWUtFtSviE,2019-01-18
1,/g/11c54ch2hn,Márcia Fellipe,Y:j47F_UFQHm0,2019-01-18
2,,Jerry Smith,Y:j47F_UFQHm0,2019-01-18
3,/g/11b60z06t1,DENNIS,Y:sSoVIcYmkPY,2019-01-18
4,/g/11c2pmz334,MC Kevinho,Y:sSoVIcYmkPY,2019-01-18
5,/g/11b6_sq0s2,Mc Livinho,Y:lwp2e0tFtZM,2019-01-18
6,/g/11c602sm4t,Zé Neto & Cristiano,Y:68DzEwBC2Cw,2019-01-18
7,,Pineapple StormTV,Y:nqbzCLL6LGs,2019-01-18
8,,MC Cabelinho,Y:nqbzCLL6LGs,2019-01-18
9,,Mode$Tia,Y:nqbzCLL6LGs,2019-01-18
10,/g/11f126h_vb,Bob do Contra,Y:nqbzCLL6LGs,2019-01-18
11,/g/11gff6wktm,Azzy,Y:nqbzCLL6LGs,2019-01-18
12,/g/1yglpxkk0,Filipe Ret,Y:nqbzCLL6LGs,2019-01-18
13,,Dudu,Y:nqbzCLL6LGs,2019-01-18
14,/g/11c31yv9zh,Xamã,Y:nqbzCLL6LGs,2019-01-18
15,/g/11bv2ph0yr,Orochi,Y:nqbzCLL6LGs,2019-01-18
16,/g/11f4q3vd8y,Maquiny,Y:nqbzCLL6LGs,2019-01-18
17,/g/11g0mh8knm,Enzo Rabelo,Y:P82cZhiHyVw,2019-01-18
18,/g/11f9w6dy53,MC L da Vinte,Y:KjM62Bvp744,2019-01-18
19,/g/11f146x8gz,Mc Gury,Y:KjM62Bvp744,2019-01-18
20,/g/11g6k0gmj8,Felipe Araújo,Y:VXqoVg7ehsc,2019-01-18
21,/g/11f4v4x7mq,Ferrugem,Y:VXqoVg7ehsc,2019-01-18
22,/m/0gh91m8,Luan Santana,Y:kfOIKPq4YA8,2019-01-18
23,/g/11c2pmz334,MC Kevinho,Y:BmJNxhdwzx8,2019-01-18
24,/g/11c2psj56j,MC Kekel,Y:BmJNxhdwzx8,2019-01-18
25,/g/11cnnwp26d,Marília Mendonça,Y:LDClGMUBJzE,2019-01-18
26,/g/11cnnwp26d,Marília Mendonça,Y:byDnHe9VQYA,2019-01-18
27,/m/0j9m6s7,Gusttavo Lima,Y:HvWN2Xy5eNc,2019-01-18
28,/g/11c602sm4t,Zé Neto & Cristiano,Y:Qk4JH4Vc8Qk,2019-01-18
29,/m/0j9m6s7,Gusttavo Lima,Y:mBmEWavFk1I,2019-01-18
30,/g/11c1_gkggw,Simone & Simaria,Y:YxLdv8C4avk,2019-01-18
31,/m/010wj70v,Ludmilla,Y:YxLdv8C4avk,2019-01-18
32,,MC Kevin o Chris,Y:2F5Y4Zbf1X4,2019-01-18
33,/g/11cnnwp26d,Marília Mendonça,Y:-6fPcSaUvJ4,2019-01-18
34,/g/11cnnwp26d,Marília Mendonça,Y:J6yu9zcAxl8,2019-01-18
35,/m/0j9m6s7,Gusttavo Lima,Y:58v1H58IxEY,2019-01-18
36,/m/0wtnl61,Henrique & Juliano,Y:IqYmZPfE9C8,2019-01-18
37,/g/11fltsbh_d,Lauana Prado,Y:P_Llq_QkJOo,2019-01-18
38,/g/11btz__j0s,Maiara & Maraisa,Y:P_Llq_QkJOo,2019-01-18
39,/g/11gr6vzdh1,Melim,Y:MjHDSBCrLbI,2019-01-18
40,,MC Kevin,Y:b6-iKAEa30A,2019-01-18
41,/m/09gkdy4,Ariana Grande,Y:v_0CRXgll4g,2019-01-18
42,/m/0nhb1jz,Humberto & Ronaldo,Y:ixbdH09WSgw,2019-01-18
43,/g/1q6n2ftx2,Dilsinho,Y:9CcJ5kQYCpk,2019-01-18
